tricode,full_name,season,team_id
ARS,Arsenal,1617,1
BOU,Bournemouth,1617,2
BUR,Burnley,1617,3
CHE,Chelsea,1617,4
CRY,Crystal Palace,1617,5
EVE,Everton,1617,6
HUL,Hull,1617,7
LEI,Leicester,1617,8
LIV,Liverpool,1617,9
MCI,Man City,1617,10
MUN,Man Utd,1617,11
MID,Middlesbrough,1617,12
SOU,Southampton,1617,13
STK,Stoke,1617,14
SUN,Sunderland,1617,15
SWA,Swansea,1617,16
TOT,Spurs,1617,17
WAT,Watford,1617,18
WBA,West Brom,1617,19
WHU,West Ham,1617,20
